iter	Logloss
0	0.6704226823
1	0.6476024624
2	0.6320377402
3	0.6130117773
4	0.590099134
5	0.5699873494
6	0.5542718904
7	0.5423808172
8	0.52658576
9	0.510574587
10	0.4977612315
11	0.4842895151
12	0.4727300639
13	0.460615418
14	0.4509182033
15	0.4425269667
16	0.4314734496
17	0.4238318688
18	0.4152703698
19	0.4072571304
20	0.399252085
21	0.3930800317
22	0.387143298
23	0.3806349101
24	0.3756875637
25	0.3711703809
26	0.3648495573
27	0.3597972727
28	0.3585518442
29	0.3532260369
30	0.347617315
31	0.3454374524
32	0.3424092233
33	0.3379603909
34	0.3343372978
35	0.3311606769
36	0.327660604
37	0.3263347422
38	0.3233779581
39	0.320091558
40	0.318077264
41	0.3154514919
42	0.3142131281
43	0.3126751493
44	0.3102610402
45	0.3078432387
46	0.3049726234
47	0.3030560372
48	0.3014570246
49	0.2985842458
50	0.2960967639
51	0.2938553367
52	0.2930427928
53	0.2915309887
54	0.2905226803
55	0.2883687444
56	0.2872011471
57	0.2858947978
58	0.285382863
59	0.2834586577
60	0.2804490627
61	0.2793586677
62	0.279129199
63	0.2779620463
64	0.2757895585
65	0.2746572127
66	0.2726215594
67	0.2711749046
68	0.2700146842
69	0.2694194104
70	0.2678774178
71	0.2665240626
72	0.2652480652
73	0.264040258
74	0.2627839626
75	0.2621042889
76	0.2605511956
77	0.2599138217
78	0.2586971174
79	0.2577196127
80	0.25658014
81	0.2561491479
82	0.2557300642
83	0.2547598942
84	0.254324628
85	0.2530817175
86	0.251727893
87	0.2507598828
88	0.2504871382
89	0.2494795559
90	0.2486367251
91	0.2478998163
92	0.2469428562
93	0.2469304243
94	0.2464258028
95	0.2451615198
96	0.2441409672
97	0.2435658463
98	0.2435549396
99	0.2431352312
100	0.242308528
101	0.2420154181
102	0.2414302632
103	0.2406046811
104	0.2399050812
105	0.2393730034
106	0.2388070094
107	0.2385312569
108	0.2380570743
109	0.237468761
110	0.2367587878
111	0.236211159
112	0.2355764591
113	0.2348957208
114	0.2347335041
115	0.2339177438
116	0.233676354
117	0.2329801861
118	0.2327159988
119	0.2316732459
120	0.2309782313
121	0.2305962797
122	0.2302208742
123	0.2297619392
124	0.22975587
125	0.2294313658
126	0.2290961195
127	0.2284853944
128	0.2281672935
129	0.2273295392
130	0.2262203658
131	0.2261854956
132	0.2259400054
133	0.2248896525
134	0.2245284781
135	0.2235802075
136	0.2231610788
137	0.222848049
138	0.2224531218
139	0.2220825461
140	0.2212038312
141	0.2206120239
142	0.2201399624
143	0.2193280971
144	0.2187820387
145	0.2179885881
146	0.21731254
147	0.2169840732
148	0.2165314588
149	0.2160386883
150	0.2158302699
151	0.2154361666
152	0.2150504143
153	0.2146386023
154	0.214570994
155	0.2133823212
156	0.2133772554
157	0.212744189
158	0.2116379087
159	0.2105350604
160	0.2099210414
161	0.2098731986
162	0.2092229772
163	0.208531711
164	0.20817308
165	0.2076575852
166	0.2072704021
167	0.2067244545
168	0.2061925605
169	0.2050986805
170	0.203800707
171	0.2036422434
172	0.2032307476
173	0.2030511792
174	0.2030399893
175	0.2027985852
176	0.2026886994
177	0.2017381827
178	0.2015863585
179	0.2011828785
180	0.2009953352
181	0.2009836748
182	0.2008174862
183	0.2006861078
184	0.2003027204
185	0.1995543209
186	0.1990795331
187	0.1987897489
188	0.197986348
